Name,Lat,Long,Category
AVIATION / 1ST FLOOR R,30.204594,-97.669188,ElecCarCharging
PALOMA RIDGE / PALOMA BDG C #5,30.477983,-97.778114,ElecCarCharging
FROST / 2,30.267047,-97.742012,ElecCarCharging
DOMAIN / STATION 1,30.40227,-97.718828,ElecCarCharging
SALTILLO / BLOCK 1,30.264446,-97.733595,ElecCarCharging
ENDEAVOR REG / PALM WAY #1,30.403636,-97.719927,ElecCarCharging
1801 E 6TH / AUSTIN 1801 2,30.261673,-97.723468,ElecCarCharging
AMD GO GREEN / P100 FLOOR 5,30.251499,-97.863984,ElecCarCharging
PIE AE / PUBHILL.CGAL1,30.309283,-97.94238,ElecCarCharging
INT-BIO EV CHGR / INTBIO EV CHGR1,30.33089,-97.668908,ElecCarCharging
PIE AE / PUBCHASEESCAL2,30.275649,-97.817129,ElecCarCharging
PALOMA RIDGE / PALOMA BDG C #3,30.477716,-97.779045,ElecCarCharging
HYATT PLACE / HP STATION 2,30.21042,-97.664868,ElecCarCharging
FOUNDRY / STATION 2,30.261097,-97.727847,ElecCarCharging
RPP GARAGE / GARAGE GW,30.429363,-97.755248,ElecCarCharging
PIE AE / CONVENTION CTR3,30.263774,-97.743466,ElecCarCharging
THE SANTAL / SANTAL1,30.259641,-97.859784,ElecCarCharging
ENDEAVOR REG / NORDSTROM L1 #1,30.401522,-97.720071,ElecCarCharging
SLEEP INN / SLEEP INN 1,30.329889,-97.661712,ElecCarCharging
PIE AE / PUBWYNDHAMGARD1,30.222774,-97.74635,ElecCarCharging
ENDEAVOR REG / 901 E 6TH ST 1,30.265044,-97.733591,ElecCarCharging
OPHTHALMOLOGY / AUSTIN EYE STA1,30.296713,-97.719788,ElecCarCharging
GAINESRANCH / GAINES 1,30.244044,-97.818364,ElecCarCharging
MONOGRAM / PARKING 4-5,30.270567,-97.748906,ElecCarCharging
DOMAIN / LEFT STATION,30.401181,-97.719499,ElecCarCharging
DEVLOPER / TRAMMELL CROW 6,30.265909,-97.748953,ElecCarCharging
PIE AE / 2201 E 6TH ST,30.259958,-97.718567,ElecCarCharging
PIE AE / CONVENTION CTR2,30.263746,-97.743476,ElecCarCharging
HEB / HEB LAKEWAY #1,30.344323,-97.967673,ElecCarCharging
8611 MOPAC LLC / MOPAC 1,30.373296,-97.739942,ElecCarCharging
GPT / GPT 2,30.268498,-97.754605,ElecCarCharging
AVIATION / 5TH FLOOR,30.204665,-97.66963200000001,ElecCarCharging
PIE AE / MACC STATION 1,30.258523,-97.739467,ElecCarCharging
PIE AE / PUB-CENTRALMKTN,30.308484,-97.740767,ElecCarCharging
WALLERCREEKSIDE / CREEKSIDE1,30.315229,-97.724395,ElecCarCharging
NATIONAL INSTRU / 9&10;,30.408686,-97.725307,ElecCarCharging
YETI RAMBLERS / EVSE #1,30.256412,-97.871799,ElecCarCharging
COA FLEET - PIE / ROOF4,30.268885,-97.734673,ElecCarCharging
ENDEAVOR REG / LEVEL 4 - #2,30.317737,-97.754947,ElecCarCharging
